datetime_utc,unrealized,realized,daily
2025-09-23T21:15:18.943371+00:00,-194.50,0.00,56.88
2025-09-23T21:15:19.145802+00:00,-194.50,0.00,56.88
2025-09-23T21:15:19.360213+00:00,-194.50,0.00,56.88
2025-09-23T21:15:19.562986+00:00,-194.50,0.00,56.88
2025-09-23T21:15:19.764834+00:00,-194.50,0.00,56.88
2025-09-23T21:15:19.966990+00:00,-192.50,0.00,58.88
2025-09-23T21:15:20.168325+00:00,-192.50,0.00,58.88
2025-09-23T21:15:20.374120+00:00,-192.50,0.00,58.88
2025-09-23T21:15:20.576258+00:00,-192.50,0.00,58.88
2025-09-23T21:15:20.778738+00:00,-192.50,0.00,58.88
2025-09-23T21:15:20.980465+00:00,-192.50,0.00,58.88
2025-09-23T21:15:21.182616+00:00,-192.50,0.00,58.88
2025-09-23T21:15:21.387994+00:00,-192.50,0.00,58.88
2025-09-23T21:15:21.589689+00:00,-192.50,0.00,58.88
2025-09-23T21:15:21.804458+00:00,-192.50,0.00,58.88
2025-09-23T21:15:22.007058+00:00,-192.50,0.00,58.88
2025-09-23T21:15:22.207879+00:00,-192.50,0.00,58.88
2025-09-23T21:15:22.413563+00:00,-192.50,0.00,58.88
2025-09-23T21:15:22.615038+00:00,-192.50,0.00,58.88
2025-09-23T21:15:22.817752+00:00,-192.50,0.00,58.88
2025-09-23T21:15:23.031942+00:00,-192.50,0.00,58.88
2025-09-23T21:15:23.235312+00:00,-192.50,0.00,58.88
2025-09-23T21:15:23.436595+00:00,-192.50,0.00,58.88
2025-09-23T21:15:23.640526+00:00,-192.50,0.00,58.88
2025-09-23T21:15:23.842524+00:00,-192.50,0.00,58.88
2025-09-23T21:15:24.043213+00:00,-192.50,0.00,58.88
2025-09-23T21:15:24.258079+00:00,-192.50,0.00,58.88
2025-09-23T21:15:24.458894+00:00,-192.50,0.00,58.88
2025-09-23T21:15:24.659330+00:00,-192.50,0.00,58.88
2025-09-23T21:15:24.875826+00:00,-192.50,0.00,58.88
2025-09-23T21:15:25.077838+00:00,-192.50,0.00,58.88
2025-09-23T21:15:25.281604+00:00,-192.50,0.00,58.88
2025-09-23T21:15:25.485698+00:00,-192.50,0.00,58.88
2025-09-23T21:15:25.688463+00:00,-192.50,0.00,58.88
2025-09-23T21:15:25.892678+00:00,-192.50,0.00,58.88
2025-09-23T21:15:26.096291+00:00,-192.50,0.00,58.88
2025-09-23T21:15:26.298872+00:00,-192.50,0.00,58.88
2025-09-23T21:15:26.500922+00:00,-192.50,0.00,58.88
2025-09-23T21:15:26.704048+00:00,-192.50,0.00,58.88
