datetime,open,high,low,close,volume
2025-09-18T09:30:00-04:00,511.49,511.49,507.68,509.18,615083
2025-09-18T09:35:00-04:00,509.15,510.59,508.5,508.79,340618
2025-09-18T09:40:00-04:00,508.81,509.21,508.17,508.18,170422
2025-09-18T09:45:00-04:00,508.2,509.39,507.66,509.38,177027
2025-09-18T09:50:00-04:00,509.38,510.94,509.38,510.29,139381
2025-09-18T09:55:00-04:00,510.23,510.56,509.29,510.07,150890
2025-09-18T10:00:00-04:00,510.03,510.29,509.22,509.41,140676
2025-09-18T10:05:00-04:00,509.39,510.44,509.25,510.35,119297
2025-09-18T10:10:00-04:00,510.38,511.42,510.37,511.16,165493
2025-09-18T10:15:00-04:00,511.19,512.0,511.01,511.45,133817
2025-09-18T10:20:00-04:00,511.41,511.89,510.98,511.1,90279
2025-09-18T10:25:00-04:00,511.13,511.86,511.11,511.64,81063
2025-09-18T10:30:00-04:00,511.73,512.96,511.73,512.36,167805
2025-09-18T10:35:00-04:00,512.33,512.91,512.2,512.45,91572
2025-09-18T10:40:00-04:00,512.49,513.07,512.03,512.07,79677
2025-09-18T10:45:00-04:00,512.06,512.06,511.07,511.7,87867
2025-09-18T10:50:00-04:00,511.66,512.25,510.53,510.53,103097
2025-09-18T10:55:00-04:00,510.55,511.37,510.54,511.18,89568
2025-09-18T11:00:00-04:00,511.23,511.52,510.65,510.66,63272
2025-09-18T11:05:00-04:00,510.7,511.09,510.0,511.01,137528
2025-09-18T11:10:00-04:00,511.03,511.09,510.48,510.81,85612
2025-09-18T11:15:00-04:00,510.8,511.22,510.55,511.14,69931
2025-09-18T11:20:00-04:00,511.14,511.46,510.5,510.84,54670
2025-09-18T11:25:00-04:00,510.88,511.0,510.34,510.52,43434
2025-09-18T11:30:00-04:00,510.54,510.78,510.34,510.5,50618
2025-09-18T11:35:00-04:00,510.42,510.45,509.81,510.22,74404
2025-09-18T11:40:00-04:00,510.24,510.24,509.83,510.02,32707
2025-09-18T11:45:00-04:00,510.06,510.14,509.44,509.59,41324
2025-09-18T11:50:00-04:00,509.55,509.64,508.29,508.58,90596
2025-09-18T11:55:00-04:00,508.6,508.87,508.15,508.16,90326
2025-09-18T12:00:00-04:00,508.13,508.82,507.87,508.7,160328
2025-09-18T12:05:00-04:00,508.72,509.09,508.45,508.78,114140
2025-09-18T12:10:00-04:00,508.74,508.9,508.21,508.85,83181
2025-09-18T12:15:00-04:00,508.81,509.29,508.78,508.95,91439
2025-09-18T12:20:00-04:00,508.93,509.21,508.75,508.98,47946
2025-09-18T12:25:00-04:00,509.0,509.05,508.76,508.89,36922
2025-09-18T12:30:00-04:00,508.89,509.35,508.86,509.15,41834
2025-09-18T12:35:00-04:00,509.1,509.2,508.8,508.91,38228
2025-09-18T12:40:00-04:00,508.84,509.27,508.74,509.21,35847
2025-09-18T12:45:00-04:00,509.24,509.66,509.17,509.17,83174
2025-09-18T12:50:00-04:00,509.2,509.63,509.18,509.42,62283
2025-09-18T12:55:00-04:00,509.42,509.59,509.13,509.51,94614
2025-09-18T13:00:00-04:00,509.53,509.87,509.43,509.56,55401
2025-09-18T13:05:00-04:00,509.57,510.09,509.5,509.98,53434
2025-09-18T13:10:00-04:00,509.91,509.91,509.44,509.51,42200
2025-09-18T13:15:00-04:00,509.51,509.68,509.36,509.58,33701
2025-09-18T13:20:00-04:00,509.55,509.62,509.25,509.34,29869
2025-09-18T13:25:00-04:00,509.33,509.36,509.1,509.2,32917
2025-09-18T13:30:00-04:00,509.2,509.24,508.93,509.02,45347
2025-09-18T13:35:00-04:00,509.02,509.24,508.74,509.21,40114
2025-09-18T13:40:00-04:00,509.22,509.22,508.97,509.05,39235
2025-09-18T13:45:00-04:00,509.07,509.14,508.81,508.9,34568
2025-09-18T13:50:00-04:00,508.91,508.99,508.59,508.8,30097
2025-09-18T13:55:00-04:00,508.78,508.8,508.37,508.4,40713
2025-09-18T14:00:00-04:00,508.38,508.61,508.22,508.5,68929
2025-09-18T14:05:00-04:00,508.5,508.64,508.21,508.41,83087
2025-09-18T14:10:00-04:00,508.38,508.54,508.22,508.43,73357
2025-09-18T14:15:00-04:00,508.43,508.56,507.9,507.97,103623
2025-09-18T14:20:00-04:00,508.02,508.24,507.89,508.12,69709
2025-09-18T14:25:00-04:00,508.12,508.37,508.03,508.19,58090
2025-09-18T14:30:00-04:00,508.17,508.24,507.87,508.12,64618
2025-09-18T14:35:00-04:00,508.15,508.72,508.15,508.71,60271
2025-09-18T14:40:00-04:00,508.72,508.72,508.17,508.27,84962
2025-09-18T14:45:00-04:00,508.26,508.93,508.23,508.59,90913
2025-09-18T14:50:00-04:00,508.61,508.79,508.49,508.66,79977
2025-09-18T14:55:00-04:00,508.63,508.9,508.58,508.82,88336
2025-09-18T15:00:00-04:00,508.8,509.02,508.76,509.01,69794
2025-09-18T15:05:00-04:00,509.01,509.36,508.97,509.15,110970
2025-09-18T15:10:00-04:00,509.19,509.47,509.0,509.28,90373
2025-09-18T15:15:00-04:00,509.28,509.66,509.06,509.57,58834
2025-09-18T15:20:00-04:00,509.58,509.63,509.22,509.23,54944
2025-09-18T15:25:00-04:00,509.22,509.24,508.63,508.8,88514
2025-09-18T15:30:00-04:00,508.79,508.89,508.4,508.8,102487
2025-09-18T15:35:00-04:00,508.76,508.91,508.6,508.77,73984
2025-09-18T15:40:00-04:00,508.78,508.86,508.36,508.4,81486
2025-09-18T15:45:00-04:00,508.41,508.46,508.08,508.32,131812
2025-09-18T15:50:00-04:00,508.27,508.84,508.08,508.5,217329
2025-09-18T15:55:00-04:00,508.5,508.72,508.09,508.45,496715
2025-09-19T09:30:00-04:00,510.61,512.25,510.31,511.21,5314760
2025-09-19T09:35:00-04:00,511.18,512.28,510.34,511.01,213932
2025-09-19T09:40:00-04:00,511.15,513.08,511.07,512.41,234739
2025-09-19T09:45:00-04:00,512.44,514.0,512.11,513.84,228129
2025-09-19T09:50:00-04:00,513.84,514.68,513.49,514.18,185539
2025-09-19T09:55:00-04:00,514.16,514.88,513.96,514.33,163446
2025-09-19T10:00:00-04:00,514.38,514.63,513.15,513.82,154220
2025-09-19T10:05:00-04:00,513.75,514.48,513.4,513.41,104018
2025-09-19T10:10:00-04:00,513.46,513.66,512.94,513.14,108446
2025-09-19T10:15:00-04:00,513.16,513.18,512.11,512.18,94241
2025-09-19T10:20:00-04:00,512.18,513.0,511.95,512.87,137138
2025-09-19T10:25:00-04:00,512.87,513.46,512.59,513.11,126689
2025-09-19T10:30:00-04:00,513.09,513.35,512.87,513.14,62903
2025-09-19T10:35:00-04:00,513.19,513.48,512.46,512.78,118727
2025-09-19T10:40:00-04:00,512.76,513.29,512.58,513.2,100708
2025-09-19T10:45:00-04:00,513.19,513.58,512.77,513.49,108273
2025-09-19T10:50:00-04:00,513.46,513.6,512.84,513.14,80724
2025-09-19T10:55:00-04:00,513.09,513.8,513.01,513.69,60016
2025-09-19T11:00:00-04:00,513.73,513.96,513.36,513.38,75225
2025-09-19T11:05:00-04:00,513.36,513.36,512.42,512.46,105900
2025-09-19T11:10:00-04:00,512.44,512.61,511.94,512.01,144025
2025-09-19T11:15:00-04:00,512.06,513.0,511.87,512.95,92248
2025-09-19T11:20:00-04:00,512.91,513.08,512.75,512.95,110394
2025-09-19T11:25:00-04:00,512.95,512.95,512.04,512.22,329383
2025-09-19T11:30:00-04:00,512.23,512.27,511.42,511.98,89857
2025-09-19T11:35:00-04:00,511.98,512.05,511.55,511.55,58675
2025-09-19T11:40:00-04:00,511.55,511.64,511.32,511.43,53312
2025-09-19T11:45:00-04:00,511.49,511.97,511.44,511.93,40981
2025-09-19T11:50:00-04:00,511.9,512.15,511.86,511.86,41311
2025-09-19T11:55:00-04:00,511.83,511.99,511.59,511.88,38838
2025-09-19T12:00:00-04:00,511.92,512.43,511.92,512.42,54615
2025-09-19T12:05:00-04:00,512.42,512.82,512.42,512.53,64786
2025-09-19T12:10:00-04:00,512.5,512.81,512.31,512.65,131187
2025-09-19T12:15:00-04:00,512.66,512.99,512.62,512.87,54478
2025-09-19T12:20:00-04:00,512.9,513.2,512.66,513.09,43783
2025-09-19T12:25:00-04:00,513.08,513.36,512.75,512.86,47508
2025-09-19T12:30:00-04:00,512.85,512.96,511.89,511.94,88779
2025-09-19T12:35:00-04:00,511.98,512.49,511.98,512.12,62842
2025-09-19T12:40:00-04:00,512.14,512.49,512.0,512.45,44186
2025-09-19T12:45:00-04:00,512.44,512.68,512.25,512.52,33445
2025-09-19T12:50:00-04:00,512.55,512.55,512.07,512.07,34568
2025-09-19T12:55:00-04:00,512.1,512.71,512.09,512.34,114483
2025-09-19T13:00:00-04:00,512.34,512.65,512.15,512.31,76357
